Country,LE.2015
Afghanistan,61.2
Albania,78
Algeria,77.1
Andorra,82.6
Angola,63.3
Antigua and Barbuda,76.9
Argentina,76.5
Armenia,75.3
Australia,82.5
Austria,81.5
Azerbaijan,70.5
Bahamas,73.3
Bahrain,79.3
Bangladesh,72.5
Barbados,77.1
Belarus,73.8
Belgium,80.9
Belize,74
Benin,63.5
Bhutan,73.5
Bolivia,72.2
Bosnia and Herzegovina,76.4
Botswana,66.9
Brazil,75.5
Brunei,75.1
Bulgaria,74.8
Burkina Faso,60.7
Burundi,60.8
Cambodia,69.3
Cameroon,61.2
Canada,81.7
Cape Verde,75.3
Central African Republic,50.9
Chad,59.2
Chile,79.6
China,76.5
Colombia,80
Comoros,68
"Congo, Dem. Rep.",61.3
"Congo, Rep.",62.2
Costa Rica,79.9
Cote d'Ivoire,61
Croatia,77.6
Cuba,78.2
Cyprus,81.5
Czech Republic,78.8
Denmark,80.9
Djibouti,66.3
Dominica,72.4
Dominican Republic,72.8
Ecuador,76.6
Egypt,70.2
El Salvador,72.1
Equatorial Guinea,64.7
Eritrea,61.6
Estonia,77.7
Eswatini,55.8
Ethiopia,67.2
Fiji,67.8
Finland,81.6
France,82.5
Gabon,67
Gambia,65.1
Georgia,73
Germany,80.7
Ghana,64.4
Greece,80.8
Grenada,73.9
Guatemala,72.9
Guinea,59.2
Guinea-Bissau,58.7
Guyana,68.6
Haiti,64
Honduras,72.1
Hungary,75.5
Iceland,82.7
India,68.4
Indonesia,71
Iran,76.5
Iraq,76.3
Ireland,81.6
Israel,82.6
Italy,82.6
Jamaica,74.6
Japan,84.1
Jordan,79.1
Kazakhstan,71.7
Kenya,64.7
Kiribati,61.9
Kuwait,82.9
Kyrgyz Republic,71.9
Lao,66.6
Latvia,74.9
Lebanon,77.8
Lesotho,50.5
Liberia,62
Libya,73.1
Lithuania,74.7
Luxembourg,81.4
Madagascar,63
Malawi,61.7
Malaysia,74.6
Maldives,81.2
Mali,61.1
Malta,81.2
Marshall Islands,64.1
Mauritania,69.9
Mauritius,74.5
Mexico,75.9
"Micronesia, Fed. Sts.",67
Moldova,71.8
Mongolia,68.6
Montenegro,76.4
Morocco,73.5
Mozambique,56.2
Myanmar,67.8
Namibia,65.5
Nepal,69.6
Netherlands,81.5
New Zealand,81.5
Nicaragua,78.1
Niger,61.3
Nigeria,63.4
North Korea,71.6
North Macedonia,76.5
Norway,82.3
Oman,76.4
Pakistan,66
Palestine,76.2
Panama,78.9
Papua New Guinea,57.9
Paraguay,75.8
Peru,80
Philippines,69.2
Poland,77.5
Portugal,81.5
Qatar,79.9
Romania,75.1
Russia,71.3
Rwanda,67.7
Samoa,72.7
Sao Tome and Principe,70.3
Saudi Arabia,76.2
Senegal,67.5
Serbia,75.1
Seychelles,73.5
Sierra Leone,58.5
Singapore,84.4
Slovak Republic,76.7
Slovenia,80.8
Solomon Islands,62.8
Somalia,58.3
South Africa,63.4
South Korea,82.3
South Sudan,59.4
Spain,82.6
Sri Lanka,76.9
St. Lucia,75.5
St. Vincent and the Grenadines,72
Sudan,69.6
Suriname,71.9
Sweden,82.2
Switzerland,83.5
Syria,67.3
Tajikistan,70.2
Tanzania,65.6
Thailand,78.2
Timor-Leste,70.7
Togo,62.8
Tonga,71.5
Trinidad and Tobago,74.4
Tunisia,77.9
Turkey,78.3
Turkmenistan,69.8
Uganda,64.5
Ukraine,69.2
United Arab Emirates,73.1
United Kingdom,81
United States,78.8
Uruguay,77
Uzbekistan,69.9
Vanuatu,64.4
Venezuela,75
Vietnam,74.3
Yemen,68.6
Zambia,62
Zimbabwe,59.6
